URL,ID_NUMBER,Tags
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3310052,"AC 1951.298.a,b",yellow; art; sculpture; jewelry; lighting
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3234777,AC 1964.106.a,dishes; lighting
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3057383,AC 1989.113,plants; sky; landscapes; birds; painting; art; grasses
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3292108,AC 1964.57.a,clouds; sky; plants; buildings; doors; trees; windows
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3292109,AC 1964.57.a,statues; sculpture; temples; bricks; art; standing; stands; monuments; people
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293365,AC 1964.57.a,
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293366,AC 1964.57.a,pedestals; light; statues; sculpture; bodies; human; art; monuments
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293367,AC 1964.57.a,sculpture; statues; art; monuments; vests; hats
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293368,AC 1964.57.a,statues; sculpture; bodies; human; art; monuments
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293369,AC 1964.58.a,heads; statues; pedestals; sculpture; architecture; art; monuments; people
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293370,AC 1964.58.a,pedestals; statues; sculpture; art; monuments
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293371,AC 1964.58.a,sculpture; statues; art; monuments
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293372,AC 1964.58.a,sculpture; statues; bodies; human; art; monuments
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3301484,AC 1964.61.a,art; rectangles; knees; woods; sculpture
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293375,AC 1964.67.a,pedestals; sculpture; statues; bodies; human; art; monuments
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293376,AC 1964.67.b,heads; sculpture; statues; art; pedestals
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293377,AC 1964.67.c,pedestals; sculpture; statues; bodies; human; art; woods; monuments
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3293378,AC 1964.67.d,sculpture; statues; pedestals; art; crosses
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3310058,"AC 1969.20.a,b",vases; light; black; pottery; art
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3290102,"AC 1971.52.a,b",lamps; ceilings; lighting; dishes
https://museums.fivecolleges.edu/grabimg.php?wm=1&kv=3232659,"AC 1971.53.a,b",art; circles; transparencies; vases
